"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Abernathy_Above AFTC",2021,0.479,0.049,0.382,0.479,0.579
"Mill",2021,0.47,0.052,0.37,0.47,0.572
"Germany",2021,0.461,0.052,0.358,0.461,0.564
"Upper Cowlitz and Cispus",2021,0.476,0.052,0.374,0.476,0.581
"Tilton",2021,0.476,0.052,0.375,0.476,0.578
"Lower Cowlitz",2021,0.429,0.033,0.365,0.429,0.493
"Delameter_Above Weir",2021,0.416,0.046,0.324,0.417,0.505
"Lacamas_Above Weir",2021,0.467,0.053,0.364,0.468,0.57
"Olequa_Above Weir",2021,0.448,0.05,0.349,0.449,0.545
"Ostrander_Above Weir",2021,0.47,0.044,0.384,0.47,0.557
"Green",2021,0.495,0.037,0.422,0.495,0.569
"Upper NF Toutle",2021,0.476,0.054,0.371,0.476,0.582
"NF_MS Toutle",2021,0.467,0.051,0.365,0.468,0.568
"SF Toutle",2021,0.525,0.04,0.449,0.524,0.605
"Coweeman",2021,0.448,0.044,0.362,0.448,0.534
"Kalama",2021,0.497,0.047,0.405,0.497,0.591
"Lower Lewis",2021,0.466,0.052,0.363,0.465,0.568
"Upper NF Lewis",2021,0.476,0.053,0.371,0.476,0.58
"Cedar",2021,0.51,0.041,0.431,0.51,0.592
"EF Lewis",2021,0.421,0.035,0.353,0.421,0.488
"Salmon Creek",2021,0.443,0.048,0.347,0.443,0.538
"Washougal",2021,0.48,0.048,0.387,0.48,0.575
"Lower Gorge",2021,0.489,0.04,0.413,0.489,0.568
"Duncan_Above Weir",2021,0.451,0.036,0.379,0.451,0.523
